isbn;sello;colección;Encuad;título;autor / ilustrador;año public;descripción;tapa
9788494799167;tobogán;minilibros;B;ABC en Colores;S. Johnson - E. Ruiz;2021;Arañas que asustan, magos magníficos y sapos solitarios son algunos de los graciosos personajes de este ABC en colores para que los chicos disfruten aprendiendo sus primeras letras.;https://www.grupoclaridad.com.ar/wp-content/uploads/2018/03/abc-colores-300x300.jpg
9788494799181;tobogán;minilibros;B;Animales Chiquitos;S. Johnson - E. Ruiz;2021;Este es un libro cartoné para que los más pequeños se encuentren con animales que conocen y otros que todavía no. ¿Qué animales viven en la selva? ¿Cuáles en la granja y en el campo? ¿En el bosque? ¿y en el mar? ¡A divertirse jugando y aprendiendo vocabulario con los animales chiquitos!;https://www.grupoclaridad.com.ar/wp-content/uploads/2018/03/animales-chiquitos-300x300.jpg
9789871849529;unaluna;primeras lecturas;B;El Cocodrilo Gentil;Leo Timmers;2023;Sobre el lomo del gentil cocodrilo todos los animales están a salvo: el ratón, el jabalí y el antílope. Con un sonoro ¡GRRR! Ahuyenta a sus enemigos. Pero… ¿podrá soportar también al rinoceronte? ;https://www.grupoclaridad.com.ar/wp-content/uploads/2023/12/cocodrilo-gentil-300x300.jpg
9788494852008;unaluna;primeras lecturas;B;Los Colores y Yo;Mariana Ruiz Johnson;2023;Me miro al espejo y descubro colores en mi ropa, en mi pelo, en mis dientes, en mis zapatos...  Este libro es un divertido viaje por el universo de los colores. Un recorrido por las ciudades más lejanas, los mares más profundos y las selvas más frondosas.;https://www.grupoclaridad.com.ar/wp-content/uploads/2018/11/colores-300x300.jpg
